Department Area,,Service Area,,Description,,,Line,,HBC Ref No.,,Name:  ,,,Payment Date,,Amount Paid
REGN - Regeneration & Housing,,FAB - Facilities,,"Site 11 02/02/2025 -
  01/03/2025 20 Environmental Health Offices",,,15,,CRINV0011454,,EDF Energy - 9044031649 Consolidated Invoice,,,19/06/2025,,24.18-
REGN - Regeneration & Housing,,FAB - Facilities,,"Site 11 02/02/2025 -
  01/03/2025 20 Environmental Health Offices",,,16,,CRINV0011454,,EDF Energy - 9044031649 Consolidated Invoice,,,19/06/2025,,90.67
REGN - Regeneration & Housing,,FAB - Facilities,,"Site 11 02/03/2025 -
  31/03/2025 20 Environmental Health Offices",,,17,,CRINV0011454,,EDF Energy - 9044031649 Consolidated Invoice,,,19/06/2025,,818.37-
REGN - Regeneration & Housing,,FAB - Facilities,,"Site 11 02/03/2025 -
  31/03/2025 20 Environmental Health Offices",,,18,,CRINV0011454,,EDF Energy - 9044031649 Consolidated Invoice,,,19/06/2025,,97.15
REGN - Regeneration & Housing,,FAB - Facilities,,"Site 11 01/04/2025 -
  15/04/2025 20 Environmental Health Offices",,,19,,CRINV0011454,,EDF Energy - 9044031649 Consolidated Invoice,,,19/06/2025,,"2,251.17"
REGN - Regeneration & Housing,,FAB - Facilities,,"Site 12 02/05/2025 -
  01/06/2025 Mess Room Memorial Park",,,20,,CRINV0011454,,EDF Energy - 9044031649 Consolidated Invoice,,,19/06/2025,,15.35
REGN - Regeneration & Housing,,FAB - Facilities,,"Site 13 02/05/2025 -
  01/06/2025 Elmfield Hall Flats - Communal Ligh",,,21,,CRINV0011454,,EDF Energy - 9044031649 Consolidated Invoice,,,19/06/2025,,25.45
REGN - Regeneration & Housing,,FAB - Facilities,,"Site 14 02/05/2025 -
  01/06/2025 Bandstand Oakhill Park",,,22,,CRINV0011454,,EDF Energy - 9044031649 Consolidated Invoice,,,19/06/2025,,37.25
REGN - Regeneration & Housing,,FAB - Facilities,,"01/04/2025 -
  30/04/2025 Scaitcliffe House",,,23,,CRINV0011454,,EDF Energy - 9044031649 Consolidated Invoice,,,19/06/2025,,"8,602.20-"
REGN - Regeneration & Housing,,FAB - Facilities,,"01/04/2025 -
  30/04/2025 Scaitcliffe House",,,24,,CRINV0011454,,EDF Energy - 9044031649 Consolidated Invoice,,,19/06/2025,,"8,213.20"
REGN - Regeneration & Housing,,FAB - Facilities,,"01/05/2025 -
  31/05/2025 Scaitcliffe House",,,25,,CRINV0011454,,EDF Energy - 9044031649 Consolidated Invoice,,,19/06/2025,,"6,223.94"
REGN - Regeneration & Housing,,FAB - Facilities,,"Site 16 01/05/2025 -
  31/05/2025 Floodlighting Mercer House",,,26,,CRINV0011454,,EDF Energy - 9044031649 Consolidated Invoice,,,19/06/2025,,29.15
REGN - Regeneration & Housing,,FAB - Facilities,,"Site 17 02/05/2025 -
  01/06/2025 Oakhill Park Centre",,,27,,CRINV0011454,,EDF Energy - 9044031649 Consolidated Invoice,,,19/06/2025,,323.70
REGN - Regeneration & Housing,,FAB - Facilities,,"01/05/2025 -
  31/05/2025 Accrington Market Hall",,,28,,CRINV0011454,,EDF Energy - 9044031649 Consolidated Invoice,,,19/06/2025,,"4,386.23"
REGN - Regeneration & Housing,,FAB - Facilities,,"Site 19 02/05/2025 -
  01/06/2025 Wilsons Playing Fields",,,29,,CRINV0011454,,EDF Energy - 9044031649 Consolidated Invoice,,,19/06/2025,,"2,956.31"
REGN - Regeneration & Housing,,FAB - Facilities,,"Site 20 02/05/2025 -
  01/06/2025 Dill Hall Cemetry",,,30,,CRINV0011454,,EDF Energy - 9044031649 Consolidated Invoice,,,19/06/2025,,26.63
REGN - Regeneration & Housing,,FAB - Facilities,,"Site 21 02/05/2025 -
  01/06/2025 Haworth Art Gallery",,,31,,CRINV0011454,,EDF Energy - 9044031649 Consolidated Invoice,,,19/06/2025,,"1,253.37"
REGN - Regeneration & Housing,,FAB - Facilities,,"Site 22 02/05/2025 -
  01/06/2025 Wilson Playing Fields",,,32,,CRINV0011454,,EDF Energy - 9044031649 Consolidated Invoice,,,19/06/2025,,"1,185.35"
REGN - Regeneration & Housing,,FAB - Facilities,,"Site 23 01/05/2025 -
  31/05/2025 Gatty Park Greenhouse Site",,,33,,CRINV0011454,,EDF Energy - 9044031649 Consolidated Invoice,,,19/06/2025,,39.91
REGN - Regeneration & Housing,,FAB - Facilities,,"Site 24 01/08/2022 -
  01/09/2022 Willows Lane Depot",,,34,,CRINV0011454,,EDF Energy - 9044031649 Consolidated Invoice,,,19/06/2025,,"1,346.74-"
REGN - Regeneration & Housing,,FAB - Facilities,,"Site 24 01/08/2022 -
  01/09/2022 Willows Lane Depot",,,35,,CRINV0011454,,EDF Energy - 9044031649 Consolidated Invoice,,,19/06/2025,,"1,503.71"
REGN - Regeneration & Housing,,FAB - Facilities,,"02/05/2025 -
  01/06/2025 RANGER STREET DEPOT",,,36,,CRINV0011454,,EDF Energy - 9044031649 Consolidated Invoice,,,19/06/2025,,174.90
REGN - Regeneration & Housing,,FAB - Facilities,,"Site 25 02/05/2025 -
  01/06/2025 Wall of Rememberence Burnley Rd",,,37,,CRINV0011454,,EDF Energy - 9044031649 Consolidated Invoice,,,19/06/2025,,18.97
REGN - Regeneration & Housing,,FAB - Facilities,,"Site 26 01/05/2025 -
  31/05/2025 Bowl Houses Milnshaw Park",,,38,,CRINV0011454,,EDF Energy - 9044031649 Consolidated Invoice,,,19/06/2025,,73.00
REGN - Regeneration & Housing,,FAB - Facilities,,"Site 27 02/05/2025 -
  01/06/2025 The Stable & Motor House",,,39,,CRINV0011454,,EDF Energy - 9044031649 Consolidated Invoice,,,19/06/2025,,434.66
REGN - Regeneration & Housing,,FAB - Facilities,,"Site 28 02/05/2025 -
  01/06/2025 Cemetery Office Burnley Rd",,,40,,CRINV0011454,,EDF Energy - 9044031649 Consolidated Invoice,,,19/06/2025,,463.76
REGN - Regeneration & Housing,,FAB - Facilities,,"01/05/2025 -
  31/05/2025 Accrington Town Hall",,,41,,CRINV0011454,,EDF Energy - 9044031649 Consolidated Invoice,,,19/06/2025,,"4,106.54"
REGN - Regeneration & Housing,,FAB - Facilities,,"Site 29 02/05/2025 -
  01/06/2025 South Service Yard Accrington Marke",,,42,,CRINV0011454,,EDF Energy - 9044031649 Consolidated Invoice,,,19/06/2025,,74.29
REGN - Regeneration & Housing,,FAB - Facilities,,"Site 30 02/05/2025 -
  31/05/2025 Park Pavilion Lowerfold Road",,,43,,CRINV0011454,,EDF Energy - 9044031649 Consolidated Invoice,,,19/06/2025,,86.55
REGN - Regeneration & Housing,,FAB - Facilities,,"01/05/2025 -
  31/05/2025 Community Hub - Fielding Lane",,,44,,CRINV0011454,,EDF Energy - 9044031649 Consolidated Invoice,,,19/06/2025,,"5,478.50"
REGN - Regeneration & Housing,,FAB - Facilities,,"Site 31 02/05/2025 -
  01/06/2025 Street Lighting Feeder Pillar Clock",,,45,,CRINV0011454,,EDF Energy - 9044031649 Consolidated Invoice,,,19/06/2025,,50.91
ENVH - Environmental Health,,BAB - Environmental Protection,,Calibration of sound calibrator,,,1,,CRINV0011455,,Campbell Associates Ltd,,,19/06/2025,,300.00
REGN - Regeneration & Housing,,FAB - Facilities,,Deposit Fee for Replacement Parts,,,1,,CRINV0011460,,Dovista Uk Ltd,,,19/06/2025,,251.45
REGN - Regeneration & Housing,,FAB - Facilities,,"Gas various sites 01.05.25  31.05.25
  31.05.25",,,1,,CRINV0011465,,SEFE Energy - 10174064 Consolidated,,,19/06/2025,,12.35
REGN - Regeneration & Housing,,FAB - Facilities,,Gas various sites 01.05.25 - 31.05.25,,,2,,CRINV0011465,,SEFE Energy - 10174064 Consolidated,,,19/06/2025,,24.55
REGN - Regeneration & Housing,,FAB - Facilities,,Gas various sites 01.05.25 - 31.05.25,,,3,,CRINV0011465,,SEFE Energy - 10174064 Consolidated,,,19/06/2025,,194.04
REGN - Regeneration & Housing,,FAB - Facilities,,Gas various sites 01.05.25 - 31.05.25,,,4,,CRINV0011465,,SEFE Energy - 10174064 Consolidated,,,19/06/2025,,"1,107.79"
REGN - Regeneration & Housing,,FAB - Facilities,,Gas various sites 01.05.25 - 31.05.25,,,5,,CRINV0011465,,SEFE Energy - 10174064 Consolidated,,,19/06/2025,,19.56-
REGN - Regeneration & Housing,,FAB - Facilities,,Gas various sites 01.05.25 - 31.05.25,,,6,,CRINV0011465,,SEFE Energy - 10174064 Consolidated,,,19/06/2025,,180.80
REGN - Regeneration & Housing,,FAB - Facilities,,Gas various sites 01.05.25 - 31.05.25,,,7,,CRINV0011465,,SEFE Energy - 10174064 Consolidated,,,19/06/2025,,"5,823.84"
REGN - Regeneration & Housing,,FAB - Facilities,,Gas various sites 01.05.25 - 31.05.25,,,8,,CRINV0011465,,SEFE Energy - 10174064 Consolidated,,,19/06/2025,,44.49
REGN - Regeneration & Housing,,FAB - Facilities,,Gas various sites 01.05.25 - 31.05.25,,,9,,CRINV0011465,,SEFE Energy - 10174064 Consolidated,,,19/06/2025,,"1,411.88"
REGN - Regeneration & Housing,,FAB - Facilities,,Gas various sites 01.05.25 - 31.05.25,,,10,,CRINV0011465,,SEFE Energy - 10174064 Consolidated,,,19/06/2025,,4.34-
REGN - Regeneration & Housing,,FAB - Facilities,,Gas various sites 01.05.25 -31.05.25,,,11,,CRINV0011465,,SEFE Energy - 10174064 Consolidated,,,19/06/2025,,184.84
REGN - Regeneration & Housing,,FAB - Facilities,,Gas various sites 01.05.25 - 31.05.25,,,12,,CRINV0011465,,SEFE Energy - 10174064 Consolidated,,,19/06/2025,,27.67
REGN - Regeneration & Housing,,FAB - Facilities,,Gas various sites 01.05.25 - 31.05.25,,,13,,CRINV0011465,,SEFE Energy - 10174064 Consolidated,,,19/06/2025,,175.18
REGN - Regeneration & Housing,,FAB - Facilities,,Gas various sites 01.05.25 - 31.05.25,,,14,,CRINV0011465,,SEFE Energy - 10174064 Consolidated,,,19/06/2025,,"1,636.73"
REGN - Regeneration & Housing,,FAB - Facilities,,Gas various sites 01.05.25 - 31.05.25,,,15,,CRINV0011465,,SEFE Energy - 10174064 Consolidated,,,19/06/2025,,540.77
REGN - Regeneration & Housing,,FAB - Facilities,,Gas various sites 01.05.25 - 31.05.25,,,16,,CRINV0011465,,SEFE Energy - 10174064 Consolidated,,,19/06/2025,,185.28
ENVS - Environmental Services,,CAF - CVMU,,Agency Costs CVMU Period Ending 15/06/2025,,,1,,CRINV0011483,,Autotech Recruit,,,19/06/2025,,"1,287.60"
RESO - Resources,,AAB - Benefits & Customer Contact,,temp staff w/e 18/05/25,,,1,,CRINV0011502,,Eden Brown Limited,,,19/06/2025,,"1,212.12"
REGN - Regeneration & Housing,,FAB - Facilities,,Project Management costs,,,1,,CRINV0011512,,Hyndburn Homewise Society Limited,,,19/06/2025,,"50,000.00"
RESO - Resources,,AAF - Finance,,HMRC May 25 Tax,,,1,,CRINV0011513,,HM Revenue & Customs (Direct Debit),,,19/06/2025,,"104,024.64"
RESO - Resources,,AAF - Finance,,HMRC May 25 Student Loans,,,2,,CRINV0011513,,HM Revenue & Customs (Direct Debit),,,19/06/2025,,"2,030.00"
RESO - Resources,,AAF - Finance,,HMRC Apprecticeship Levy 25,,,3,,CRINV0011513,,HM Revenue & Customs (Direct Debit),,,19/06/2025,,"2,673.00"
RESO - Resources,,AAF - Finance,,HMRC NI April 25,,,4,,CRINV0011513,,HM Revenue & Customs (Direct Debit),,,19/06/2025,,"132,815.20"
RESO - Resources,,AAF - Finance,,Maternity Pay May 25,,,5,,CRINV0011513,,HM Revenue & Customs (Direct Debit),,,19/06/2025,,911.42-
RESO - Resources,,AAF - Finance,,Shared Parental Pay May 25,,,6,,CRINV0011513,,HM Revenue & Customs (Direct Debit),,,19/06/2025,,762.63-
ENVS - Environmental Services,,CAF - CVMU,,Motor parts,,,1,,CRINV0011515,,Aebi Schmidt Uk Ltd,,,19/06/2025,,298.21
ENVS - Environmental Services,,CAF - CVMU,,Motor parts,,,1,,CRINV0011516,,Aebi Schmidt Uk Ltd,,,19/06/2025,,712.19
LEGL - Legal & Democratic,,DAB - Human Resources,,LIH Pension May 25,,,1,,CRINV0011522,,Lancashire County Council (Direct Debit Payments),,,19/06/2025,,"27,297.73"
RESO - Resources,,AAF - Finance,,Net off with receipt on 40082/S901,,,1,,CRINV0011527,,Maundy Relief,,,19/06/2025,,"4,767.00"
RESO - Resources,,AAF - Finance,,BRR & RSG June 25,,,1,,CRINV0011528,,"(DD) Department of Levelling Up, Housing & Comm...",,,19/06/2025,,"186,239.00-"
RESO - Resources,,AAF - Finance,,BRR & RSG Central Share June 25,,,2,,CRINV0011528,,"(DD) Department of Levelling Up, Housing & Comm...",,,19/06/2025,,"1,125,120.00"
RESO - Resources,,AAF - Finance,,BRR & RSG TR Payments June 25,,,3,,CRINV0011528,,"(DD) Department of Levelling Up, Housing & Comm...",,,19/06/2025,,"9,054.00-"
RESO - Resources,,AAF - Finance,,BRR & RSG Surplus for 24-25 June 25,,,4,,CRINV0011528,,"(DD) Department of Levelling Up, Housing & Comm...",,,19/06/2025,,"66,369.00"
RESO - Resources,,AAF - Finance,,Final Deficit for 23-24 June 25,,,5,,CRINV0011528,,"(DD) Department of Levelling Up, Housing & Comm...",,,19/06/2025,,"2,268.00-"
RESO - Resources,,AAF - Finance,,RVBC Tariff due June 2025,,,1,,CRINV0011530,,(DD ONLY) Ribble Valley Borough Council,,,19/06/2025,,"458,477.00"
REGN - Regeneration & Housing,,FAB - Facilities,,Gable wall works ,,,1,,CRPOI0011495,,Buildeasi Nw Ltd,,,19/06/2025,,"6,616.80"
RESO - Resources,,AAD - ICT,,250 x PDFSam Enhance Professional Year Plan ,,,1,,CRPOI0011523,,7270356 Canada Inc - Avanquest,,,19/06/2025,,"6,417.50"
ENVS - Environmental Services,,CAF - CVMU,,3 X Renault Kangoo 1.5 Diesel 95ML Panel Van ,,,1,,CRPOI0011348,,Stoneacre Motor Group,,,20/06/2025,,"23,655.60"
REGN - Regeneration & Housing,,FAF - Strategic Housing,,Telephone Interpreting services,,,1,,CRINV0010548,,Clear Voice,,,24/06/2025,,297.84
ENVH - Environmental Health,,BAA - Housing Standards,,Temp staff W/e 12.5.25,,,1,,CRINV0010965,,Oyster Partnership,,,24/06/2025,,"1,340.35"
ENVH - Environmental Health,,BAA - Housing Standards,,Temp staff w/e 19.5.25,,,1,,CRINV0010966,,Oyster Partnership,,,24/06/2025,,"1,185.60"
ENVH - Environmental Health,,BAA - Housing Standards,,Temp staff w/e 19.5.25,,,1,,CRINV0010967,,Oyster Partnership,,,24/06/2025,,"1,513.20"
RESO - Resources,,AAE - Residual Leisure,,Annual Healthy Weight Funds - 25/26,,,1,,CRINV0010979,,Hyndburn Leisure,,,24/06/2025,,"70,709.43"
REGN - Regeneration & Housing,,FAF - Strategic Housing,,HPA2 Costs April 25 costs,,,1,,CRINV0010980,,Locata Housing Services Ltd,,,24/06/2025,,"1,200.00"
REGN - Regeneration & Housing,,FAF - Strategic Housing,,HPA2 costs May - June 25,,,2,,CRINV0010980,,Locata Housing Services Ltd,,,24/06/2025,,"2,749.99"
ENVS - Environmental Services,,CAF - CVMU,,Servicing ,,,1,,CRINV0011009,,Bucher Municipal Ltd,,,24/06/2025,,"1,135.20"
ENVS - Environmental Services,,CAF - CVMU,,Agency staff - w/c 19.05.25,,,1,,CRINV0011016,,Proactive Personnel Ltd,,,24/06/2025,,"1,800.00"
REGN - Regeneration & Housing,,FAB - Facilities,,Oakhill Pavil  Cleaning June 25,,,1,,CRINV0011022,,ServiceMaster Clean Contract Services AAA,,,24/06/2025,,407.76
REGN - Regeneration & Housing,,FAB - Facilities,,Parker St Jun 25,,,1,,CRINV0011023,,ServiceMaster Clean Contract Services AAA,,,24/06/2025,,264.23
REGN - Regeneration & Housing,,FAB - Facilities,,Peel Park Bowling June 25,,,1,,CRINV0011024,,ServiceMaster Clean Contract Services AAA,,,24/06/2025,,264.23
REGN - Regeneration & Housing,,FAB - Facilities,,Lowerfold June 25,,,1,,CRINV0011025,,ServiceMaster Clean Contract Services AAA,,,24/06/2025,,264.23
REGN - Regeneration & Housing,,FAB - Facilities,,Mercer Park Jun 25,,,1,,CRINV0011026,,ServiceMaster Clean Contract Services AAA,,,24/06/2025,,264.23
REGN - Regeneration & Housing,,FAB - Facilities,,Rhyddings Pav June 25,,,1,,CRINV0011028,,ServiceMaster Clean Contract Services AAA,,,24/06/2025,,264.23
ENVS - Environmental Services,,CAE - Waste Services,,Printing,,,1,,CRINV0011047,,Ellison Printing Co.,,,24/06/2025,,213.80
ENVS - Environmental Services,,CAE - Waste Services,,Printing,,,2,,CRINV0011047,,Ellison Printing Co.,,,24/06/2025,,213.80
ENVS - Environmental Services,,CAE - Waste Services,,Printing,,,3,,CRINV0011047,,Ellison Printing Co.,,,24/06/2025,,213.80
ENVS - Environmental Services,,CAE - Waste Services,,Printing,,,4,,CRINV0011047,,Ellison Printing Co.,,,24/06/2025,,213.80
ENVS - Environmental Services,,CAE - Waste Services,,Printing,,,5,,CRINV0011047,,Ellison Printing Co.,,,24/06/2025,,213.80
RESO - Resources,,AAB - Benefits & Customer Contact,,Debt collection services,,,1,,CRINV0011060,,Marston (Holdings) Ltd,,,24/06/2025,,420.56
ENVS - Environmental Services,,CAC - Parks & Cemeteries,,Funeral services,,,1,,CRINV0011061,,Obitus (Vivedia Ltd),,,24/06/2025,,"2,680.80"
PLAN - Planning & Transportation,,EAD - Planning,,Staff 19.05.25,,,1,,CRINV0011072,,Oyster Partnership,,,24/06/2025,,"1,947.05"
REGN - Regeneration & Housing,,FAB - Facilities,,Maintenance - Civic Arts Theatre,,,1,,CRINV0011079,,Affordable Bar & Catering Equipment Direct,,,24/06/2025,,588.00
ENVS - Environmental Services,,CAF - CVMU,,Cleaning - CVMU - June 25,,,1,,CRINV0011099,,ServiceMaster Clean Contract Services AAA,,,24/06/2025,,"1,070.47"
ENVS - Environmental Services,,CAF - CVMU,,Repairs and call outs,,,1,,CRINV0011103,,Rossendale Vulcanising (Sales Ltd),,,24/06/2025,,"9,234.00"
LEGL - Legal & Democratic,,DAC - Legal,,Acc Market Chambers - Project Support,,,1,,CRINV0011113,,Naomi Atherton Ltd,,,24/06/2025,,"3,762.00"
RESO - Resources,,AAB - Benefits & Customer Contact,,Agency staff - w/e 25.05.25,,,1,,CRINV0011115,,Venn Group Limited,,,24/06/2025,,"1,278.28"
ENVS - Environmental Services,,CAC - Parks & Cemeteries,,Monthly Doc Charge - May 25,,,1,,CRINV0011124,,Minster Cleaning Services,,,24/06/2025,,"1,621.61"
LEGL - Legal & Democratic,,DAB - Human Resources,,Cost Management Services May 25,,,1,,CRINV0011163,,Rihbell Ltd,,,24/06/2025,,"7,084.82"
ENVS - Environmental Services,,CAB - Other Environmental Services,,May 2025 Contract,,,1,,CRINV0011166,,Aspen Valley Boarding Kennels & Cattery,,,24/06/2025,,"2,870.62"
ENVS - Environmental Services,,CAC - Parks & Cemeteries,,Contract Fees,,,1,,CRINV0011170,,Inseego UK Ltd,,,24/06/2025,,288.00
ENVS - Environmental Services,,CAF - CVMU,,Stickers,,,1,,CRINV0011181,,McCormack & Brown,,,24/06/2025,,270.00
ENVS - Environmental Services,,CAB - Other Environmental Services,,Additional cleaning Jun 25 Willows Lane,,,1,,CRINV0011185,,ServiceMaster Clean Contract Services AAA,,,24/06/2025,,"1,391.64"
ENVS - Environmental Services,,CAC - Parks & Cemeteries,,Cleaning Wilsons Jun 25,,,1,,CRINV0011187,,ServiceMaster Clean Contract Services AAA,,,24/06/2025,,802.84
ENVS - Environmental Services,,CAC - Parks & Cemeteries,,Wekly cleaning Whiteash Jun 25,,,1,,CRINV0011190,,ServiceMaster Clean Contract Services AAA,,,24/06/2025,,294.18
ENVS - Environmental Services,,CAC - Parks & Cemeteries,,Cleaning - Mercer Park Bowls - June 25,,,1,,CRINV0011197,,ServiceMaster Clean Contract Services AAA,,,24/06/2025,,264.23
ENVS - Environmental Services,,CAC - Parks & Cemeteries,,Cleaning - Rhyddings - June 25,,,1,,CRINV0011198,,ServiceMaster Clean Contract Services AAA,,,24/06/2025,,722.53
ENVS - Environmental Services,,CAF - CVMU,,Agency staff -  27.05.25,,,1,,CRINV0011209,,Proactive Personnel Ltd,,,24/06/2025,,"1,440.00"
ENVS - Environmental Services,,CAC - Parks & Cemeteries,,Agency staff - w/c 19.05.25,,,1,,CRINV0011211,,Proman Supply Chain Ltd,,,24/06/2025,,"1,997.51"
ENVS - Environmental Services,,CAC - Parks & Cemeteries,,Agency Staff - w/c 01.06.25,,,1,,CRINV0011237,,Rapid Recruitment Ltd,,,24/06/2025,,"1,249.33"
LEGL - Legal & Democratic,,DAA - Democratic Services,,"Mayor Making Event Hire of tablecloths, external catering fee and refreshments",,,1,,CRINV0011272,,Hyndburn Leisure,,,24/06/2025,,928.80
RESO - Resources,,AAD - ICT,,Various rental charges,,,1,,CRINV0011274,,Aspire Technology Solutions Limited,,,24/06/2025,,"1,528.29"
ENVS - Environmental Services,,CAE - Waste Services,,Waste and landfill tax,,,1,,CRINV0011313,,Suez Recycling And Recovery Uk Ltd,,,24/06/2025,,"2,842.00"
ENVS - Environmental Services,,CAE - Waste Services,,Landfill and general waste,,,2,,CRINV0011313,,Suez Recycling And Recovery Uk Ltd,,,24/06/2025,,"13,070.14"
ENVS - Environmental Services,,CAD - Town Centre & Markets,,Acc Food Festival,,,1,,CRINV0011314,,Scott Dawson Advertising Ltd,,,24/06/2025,,"14,400.00"
RESO - Resources,,AAB - Benefits & Customer Contact,,services May 25,,,1,,CRINV0011356,,Critiqom,,,24/06/2025,,63.94
RESO - Resources,,AAB - Benefits & Customer Contact,,charges,,,2,,CRINV0011356,,Critiqom,,,24/06/2025,,445.20
RESO - Resources,,AAB - Benefits & Customer Contact,,Professional charges,,,1,,CRINV0011359,,Greenhalgh Kerr,,,24/06/2025,,"1,110.00"
RESO - Resources,,AAB - Benefits & Customer Contact,,Prof fees,,,2,,CRINV0011359,,Greenhalgh Kerr,,,24/06/2025,,112.00
RESO - Resources,,AAB - Benefits & Customer Contact,,Professional charges,,,1,,CRINV0011361,,Greenhalgh Kerr,,,24/06/2025,,"4,939.20"
PLAN - Planning & Transportation,,EAD - Planning,,Planning Staff we 08.06.25,,,1,,CRINV0011384,,Macdonald & Company,,,24/06/2025,,889.70
PLAN - Planning & Transportation,,EAD - Planning,,Planning staff 08.06.25,,,2,,CRINV0011384,,Macdonald & Company,,,24/06/2025,,889.70
LEGL - Legal & Democratic,,DAG - Elections,,Publications,,,1,,CRINV0011402,,Thomson Reuters Professional Uk Ltd,,,24/06/2025,,407.00
RESO - Resources,,AAB - Benefits & Customer Contact,,postage May 25,,,1,,CRINV0011416,,Critiqom,,,24/06/2025,,874.20
RESO - Resources,,AAB - Benefits & Customer Contact,,post May 25,,,2,,CRINV0011416,,Critiqom,,,24/06/2025,,"4,820.40"
LEGL - Legal & Democratic,,DAG - Elections,,local elections May 25,,,1,,CRINV0011417,,Lighting And Building Services Ltd,,,24/06/2025,,"1,596.00"
PLAN - Planning & Transportation,,EAD - Planning,,Q4 Heritage Services,,,1,,CRINV0011428,,Blackburn With Darwen Borough Council,,,24/06/2025,,"1,545.90"
PLAN - Planning & Transportation,,EAD - Planning,,Period: 1.1.24 to 31.5.25,,,1,,CRINV0011438,,A D Blackburn,,,24/06/2025,,987.31
PLAN - Planning & Transportation,,EAC - Green Infrastructure,,VR Support for Ecofest Accrington - 14.6.25,,,1,,CRINV0011443,,Landscan UK,,,24/06/2025,,500.00
ENVS - Environmental Services,,CAC - Parks & Cemeteries,,Bee Signs,,,1,,CRINV0011445,,Scott Dawson Advertising Ltd,,,24/06/2025,,279.00
ENVS - Environmental Services,,CAE - Waste Services,,Charges June 25,,,1,,CRINV0011449,,Trakm8 Holdings Plc,,,24/06/2025,,133.43
ENVS - Environmental Services,,CAE - Waste Services,,Charges June 25,,,2,,CRINV0011449,,Trakm8 Holdings Plc,,,24/06/2025,,40.03
ENVS - Environmental Services,,CAE - Waste Services,,Charges June 25,,,3,,CRINV0011449,,Trakm8 Holdings Plc,,,24/06/2025,,40.03
ENVS - Environmental Services,,CAE - Waste Services,,Charges June 25,,,4,,CRINV0011449,,Trakm8 Holdings Plc,,,24/06/2025,,13.33
ENVS - Environmental Services,,CAE - Waste Services,,Charges June 25,,,5,,CRINV0011449,,Trakm8 Holdings Plc,,,24/06/2025,,26.69
ENVS - Environmental Services,,CAE - Waste Services,,Charges June 25,,,6,,CRINV0011449,,Trakm8 Holdings Plc,,,24/06/2025,,13.33
ENVS - Environmental Services,,CAE - Waste Services,,Charges June 25,,,7,,CRINV0011449,,Trakm8 Holdings Plc,,,24/06/2025,,13.33
ENVS - Environmental Services,,CAE - Waste Services,,Charges June 25,,,8,,CRINV0011449,,Trakm8 Holdings Plc,,,24/06/2025,,13.33
ENVS - Environmental Services,,CAE - Waste Services,,Charges June 25,,,9,,CRINV0011449,,Trakm8 Holdings Plc,,,24/06/2025,,13.33
ENVS - Environmental Services,,CAE - Waste Services,,Charges June 25,,,10,,CRINV0011449,,Trakm8 Holdings Plc,,,24/06/2025,,13.33
LEGL - Legal & Democratic,,DAB - Human Resources,,Interpretation plan - 4th Payment,,,1,,CRINV0011466,,GSS Consulting Ltd,,,24/06/2025,,"4,500.00"
ENVS - Environmental Services,,CAC - Parks & Cemeteries,,clothing,,,1,,CRINV0011500,,"Bubbles, Brushes & Wiper Co Ltd",,,24/06/2025,,295.81
RESO - Resources,,AAB - Benefits & Customer Contact,,electricity,,,1,,CRINV0011507,,Hyndburn Leisure,,,24/06/2025,,"1,551.10"
RESO - Resources,,AAB - Benefits & Customer Contact,,gas,,,2,,CRINV0011507,,Hyndburn Leisure,,,24/06/2025,,120.42
RESO - Resources,,AAB - Benefits & Customer Contact,,water,,,3,,CRINV0011507,,Hyndburn Leisure,,,24/06/2025,,57.04
RESO - Resources,,AAB - Benefits & Customer Contact,,Cleaning - May 25,,,1,,CRINV0011509,,Hyndburn Leisure,,,24/06/2025,,"1,918.06"
PLAN - Planning & Transportation,,EAA - Building Control,,Agency staff - w/e 13.06.25,,,1,,CRINV0011533,,Deekay Tech Recruitment Ltd,,,24/06/2025,,"1,508.83"
REGN - Regeneration & Housing,,FAB - Facilities,,Works - Town Hall Basement,,,1,,CRINV0011535,,Steven Mercer Electrical Contractors Limited,,,24/06/2025,,276.49
REGN - Regeneration & Housing,,FAF - Strategic Housing,,Buffet for 45 Delegates,,,1,,CRINV0011557,,Justine`s Buffets,,,24/06/2025,,540.00
RESO - Resources,,AAF - Finance,,LEF,,,1,,CRINV0011558,,Hyndburn Leisure,,,24/06/2025,,"3,300.00"
REGN - Regeneration & Housing,,FAB - Facilities,,reimbursement,,,1,,CRINV0011564,,Hyndburn Homewise Society Limited,,,24/06/2025,,"5,069.33"
REGN - Regeneration & Housing,,FAB - Facilities,,Removal costs ,,,1,,CRINV0011601,,Dan & Van Removals,,,24/06/2025,,"1,250.00"
REGN - Regeneration & Housing,,FAB - Facilities,,"General repairs, breakdown and callouts",,,1,,CRPOI0010988,,Automatic Door Company,,,24/06/2025,,273.60
ENVS - Environmental Services,,CAC - Parks & Cemeteries,,Provide lighting upgrade to Holgate Street car park ,,,1,,CRPOI0011233,,Lighting And Building Services Ltd,,,24/06/2025,,"3,276.00"
ENVS - Environmental Services,,CAC - Parks & Cemeteries,,Provide Grantfinder software for 1 year ,,,1,,CRPOI0011422,,Idox Software Ltd,,,24/06/2025,,"7,248.00"
ENVS - Environmental Services,,CAC - Parks & Cemeteries,,Provide improvements to St Huberts Street junction,,,1,,CRPOI0011436,,John Wade Groundworks Ltd,,,24/06/2025,,"14,135.71"
