,,,,,,
Service Cost Centre,Account Detail,Description,HBC ref no,Name,Payment Date,Net Amount (£)
Haworth Art Gallery,Asset Maint R&M,FIRE RISK ASSESSMENTS.  HAWORTH,B000024515/68104,Firesec Compliance Ltd,21 Dec 2023,455.00
Hyndburn Cemeteries,Asset Maint R&M,FIRE RISK ASSESSMENTS.  DILL HALL CEM,B000024515/68104,Firesec Compliance Ltd,21 Dec 2023,279.00
Hyndburn Cemeteries,Asset Maint R&M,FIRE RISK ASSESSMENTS.  GT HAR CEM,B000024515/68104,Firesec Compliance Ltd,21 Dec 2023,279.00
Leisure In Hyndburn,Lih R&M,FIRE RISK ASSESSMENTS.  ACC TOWN HALL,B000024515/68104,Firesec Compliance Ltd,21 Dec 2023,695.00
Library St Depot,Asset Maint R&M,FIRE RISK ASSESSMENTS.  CVMU,B000024515/68104,Firesec Compliance Ltd,21 Dec 2023,455.00
Markets - Operations,Asset Maint R&M,FIRE RISK ASSESSMENTS.  MARKET HALL,B000024515/68104,Firesec Compliance Ltd,21 Dec 2023,695.00
Oswaldtwistle Civic Theatre,Asset Maint R&M,FIRE RISK ASSESSMENTS.  CIVIC THEATRE,B000024515/68104,Firesec Compliance Ltd,21 Dec 2023,695.00
Parks & Open Spaces,Asset Maint R&M,FIRE RISK ASSESSMENTS.  BRIAN WALMSLEY,B000024515/68104,Firesec Compliance Ltd,21 Dec 2023,279.00
Parks & Open Spaces,Asset Maint R&M,FIRE RISK ASSESSMENTS.  BULLOUGH,B000024515/68104,Firesec Compliance Ltd,21 Dec 2023,455.00
Parks & Open Spaces,Asset Maint R&M,FIRE RISK ASSESSMENTS.  KING G,B000024515/68104,Firesec Compliance Ltd,21 Dec 2023,455.00
Parks & Open Spaces,Asset Maint R&M,FIRE RISK ASSESSMENTS.  LOWERFOLD,B000024515/68104,Firesec Compliance Ltd,21 Dec 2023,279.00
Parks & Open Spaces,Asset Maint R&M,FIRE RISK ASSESSMENTS.  MEMORIAL,B000024515/68104,Firesec Compliance Ltd,21 Dec 2023,279.00
Parks & Open Spaces,Asset Maint R&M,FIRE RISK ASSESSMENTS.  MEM PAVILION,B000024515/68104,Firesec Compliance Ltd,21 Dec 2023,279.00
Parks & Open Spaces,Asset Maint R&M,FIRE RISK ASSESSMENTS.  MERCER PARK BOWLS,B000024515/68104,Firesec Compliance Ltd,21 Dec 2023,279.00
Parks & Open Spaces,Asset Maint R&M,FIRE RISK ASSESSMENTS.  MILNSHAW PARK,B000024515/68104,Firesec Compliance Ltd,21 Dec 2023,279.00
Parks & Open Spaces,Asset Maint R&M,FIRE RISK ASSESSMENTS.  OAKHILL BANDSTAND,B000024515/68104,Firesec Compliance Ltd,21 Dec 2023,279.00
Parks & Open Spaces,Asset Maint R&M,FIRE RISK ASSESSMENTS.  OAKHILL COACH HOUSE,B000024515/68104,Firesec Compliance Ltd,21 Dec 2023,279.00
Parks & Open Spaces,Asset Maint R&M,FIRE RISK ASSESSMENTS.  OAKHILL PARK BOWLS,B000024515/68104,Firesec Compliance Ltd,21 Dec 2023,279.00
Parks & Open Spaces,Asset Maint R&M,FIRE RISK ASSESSMENTS.  OAKHILL SERV BUILDING,B000024515/68104,Firesec Compliance Ltd,21 Dec 2023,455.00
Parks & Open Spaces,Asset Maint R&M,FIRE RISK ASSESSMENTS.  OAKHILL TENNIS,B000024515/68104,Firesec Compliance Ltd,21 Dec 2023,279.00
Parks & Open Spaces,Asset Maint R&M,FIRE RISK ASSESSMENTS.  PARKER ST BOWLS,B000024515/68104,Firesec Compliance Ltd,21 Dec 2023,279.00
Parks & Open Spaces,Asset Maint R&M,FIRE RISK ASSESSMENTS.  PEEL PARK BOWLS,B000024515/68104,Firesec Compliance Ltd,21 Dec 2023,279.00
Parks & Open Spaces,Asset Maint R&M,FIRE RISK ASSESSMENTS.  RHYDDINGS BOWLS,B000024515/68104,Firesec Compliance Ltd,21 Dec 2023,279.00
Parks & Open Spaces,Asset Maint R&M,FIRE RISK ASSESSMENTS.  WILSONS,B000024515/68104,Firesec Compliance Ltd,21 Dec 2023,455.00
Rhyddings Cafe,Asset Maint R&M,FIRE RISK ASSESSMENTS.  RHYDINGS COACH HOUSE,B000024515/68104,Firesec Compliance Ltd,21 Dec 2023,455.00
Scaitcliffe House,Asset Maint R&M,FIRE RISK ASSESSMENTS.  SCAITCLIFFE,B000024515/68104,Firesec Compliance Ltd,21 Dec 2023,695.00
Hyndburn Cemeteries,Agency Staff,AGENCY STAFF W/E 3.9.23,B000024518/19414,Proman Supply Chain Ltd,21 Dec 2023,431.21
Parks & Open Spaces,Agency Staff,AGENCY STAFF W/E 19.11.23,B000024518/19414,Proman Supply Chain Ltd,21 Dec 2023,"1,015.23"
Parks & Open Spaces,Agency Staff,AGENCY STAFF  W/E 26.11.23,B000024518/19414,Proman Supply Chain Ltd,21 Dec 2023,"1,001.57"
Accrington Crematorium,Visual Tributes,MEDIA CHARGES,B000024518/55609,Obitus (Vivedia Ltd),21 Dec 2023,"1,434.00"
Waste Services,Agency Staff,AGENCY STAFF W/C 4.12.23,B000024518/61971,Rapid Recruit Ltd,21 Dec 2023,"1,105.56"
Parks & Open Spaces,Cleaning Of Buildings,CLEANING RHYDDINGS,B000024518/68396,Servicemaster Cs Aaa,21 Dec 2023,495.59
Parks & Open Spaces,Cleaning Of Buildings,CLEANING RHYDDINGS PARK,B000024518/68396,Servicemaster Cs Aaa,21 Dec 2023,495.59
Parks & Open Spaces,Vehicle Tracker / Fuel/ Cctv,TRACKERS,B000024518/68909,Inseego Uk Limited,21 Dec 2023,240.00
Parks & Open Spaces,Water Charges,WATER CHARGES WHITE ASH PF 2.11.23-2.12.23,B000024518/8325,Water Plus Ltd,21 Dec 2023,336.27
Parks & Open Spaces,Agency Staff,AGENCY STAFF W/E 10.12.23,B000024522/19414,Proman Supply Chain Ltd,21 Dec 2023,"1,151.23"
Parks & Open Spaces,Agency Staff,AGENCY STAFF  W/E 3.12.23,B000024522/19414,Proman Supply Chain Ltd,21 Dec 2023,814.55
Hyndburn Cemeteries,New Equipment,DIGGER MATS,B000024522/27901,Teleshore (Uk) Ltd,21 Dec 2023,588.00
Hyndburn Cemeteries,New Equipment,SHIPPING,B000024522/27901,Teleshore (Uk) Ltd,21 Dec 2023,145.00
Accrington Crematorium,Cleaning Of Buildings,CLEANING SERVICES,B000024522/2981,Minster Cleaning Services,21 Dec 2023,"1,121.90"
Accrington Crematorium,Equipmnt Repair & Maint,CREMATORS - DEEP CLEAN,B000024522/68249,Gicm Limited,21 Dec 2023,"1,199.00"
Parks & Open Spaces,Cleaning Of Buildings,WILSONS BUILDING CLEANING,B000024522/68396,Servicemaster Cs Aaa,21 Dec 2023,550.67
Parks & Open Spaces,Private Contractors Work,HYGIENE PRODUCTS RHYDDINGS,B000024522/7087,P H S Group Ltd,21 Dec 2023,529.81
Parks & Open Spaces,Implements & Tools,FE2 FELCO NO 2 BYPASS SECATEURS,B000024525/54462,Tudor Environmental,21 Dec 2023,131.25
Parks & Open Spaces,Implements & Tools,HEADBAND EAR DEFENDERS,B000024525/54462,Tudor Environmental,21 Dec 2023,261.40
Haworth Art Gallery,New Equipment,1100L CONTAINER WITH METAL LID AND LOGO,B000024525/57697,Storm Environmental Ltd,21 Dec 2023,"1,980.00"
Haworth Art Gallery,New Equipment,DELIVERY - 3 PALLETS,B000024525/57697,Storm Environmental Ltd,21 Dec 2023,169.00
Willows Lane Depot,Depot Costs,DUTY OF CARE WASTE DISPOSAL NOTE,B000024525/61407,Lanes Group Plc,21 Dec 2023,27.00
Willows Lane Depot,Depot Costs,JETVAC ,B000024525/61407,Lanes Group Plc,21 Dec 2023,795.00
Willows Lane Depot,Depot Costs,TONNE WASTE DISPOSAL MIN 4,B000024525/61407,Lanes Group Plc,21 Dec 2023,510.00
Pest Control,Protective Clothing,GRAPHITE (SIZE L),B000024525/666,"Bubbles, Brushes & Wiper Co Ltd",21 Dec 2023,29.85
Pest Control,Protective Clothing,GRAPHITE (SIZE XL),B000024525/666,"Bubbles, Brushes & Wiper Co Ltd",21 Dec 2023,59.70
Pest Control,Protective Clothing,HI VIS HOODIE - ORANGE M,B000024525/666,"Bubbles, Brushes & Wiper Co Ltd",21 Dec 2023,17.95
Pest Control,Protective Clothing,HI VIS HOODIE - ORANGE XL,B000024525/666,"Bubbles, Brushes & Wiper Co Ltd",21 Dec 2023,35.90
Pest Control,Protective Clothing,BODYWARMER BLACK (SIZE L),B000024525/666,"Bubbles, Brushes & Wiper Co Ltd",21 Dec 2023,22.95
Pest Control,Protective Clothing,POLO COTTON - GRAPHITE (SIZE M),B000024525/666,"Bubbles, Brushes & Wiper Co Ltd",21 Dec 2023,26.97
Pest Control,Protective Clothing,SWEATSHIRT POLY/COTTON - BLACK M,B000024525/666,"Bubbles, Brushes & Wiper Co Ltd",21 Dec 2023,9.50
Pest Control,Protective Clothing,SWEATSHIRT POLY/COTTON - BLACK XL,B000024525/666,"Bubbles, Brushes & Wiper Co Ltd",21 Dec 2023,19.00
Underspends Bids,Private Contractors Work,FELL TWO ASH TREES - ROUGH LEE ROAD,B000024525/68762,Northern Forestry & Arb,21 Dec 2023,"1,250.00"
Acc Town Hall,Lih Utility Costs,RECHARGE OF UTILITY COSTS - BROADWAY OFFICES,B000024526/29112,Hyndburn Leisure,21 Dec 2023,"2,406.15"
Acc Town Hall,Water Charges,RECHARGE OF UTILITY COSTS - BROADWAY OFFICES,B000024526/29112,Hyndburn Leisure,21 Dec 2023,51.77
Housing Benefit Administration,Agency Staff,TEMP STAFF - W/E 10.12.23 ,B000024526/33923,Eden Brown Limited,21 Dec 2023,"1,010.10"
Corporate Property,Asset Maint R&M,G-H CLOCK TOWER - SUPPLY AND INSTAL ELECTRIC BELL TALLER ,B000024526/55910,Lancashire Clockmakers,21 Dec 2023,998.40
Insurances,Excess Payments,INSURANCE CLAIM,B000024526/62197,Protector Insurance,21 Dec 2023,"1,025.00"
Corp & Dem Core,Marketing Communications,GENERAL DESIGN WORK,B000024526/65011,Brands Inside Out Limited,21 Dec 2023,500.00
Disabled Facilities General,Contractor Other,DISABLED FACILITIES GRANT,B000024526/68490,Rebuild 4 Life Ltd,21 Dec 2023,272.20
Market Hall - Luf,Equipment Acquisition,SCHEDULED PAYMENT FOR ACCRINGTON MARKET STALL UNITS,B000024526/68811,Rapid Retail Ltd,21 Dec 2023,"36,216.50"
Disabled Facilities General,Contractor Other,DISABLED FACILITIES GRANT,B000024526/68957,Removals Wizards,21 Dec 2023,"1,050.00"
Markets - Operations,Water Charges,WATER MARKET HALL NOV 23,B000024527/8325,Water Plus Ltd,21 Dec 2023,"1,308.10"
Computer Services,Telephones,CHARGES - 01-12-23 - 31-12-23,B000024528/46800,Cloudcoco Limited,21 Dec 2023,"1,203.19"
Computer Services,Rental & Maint Software Misc,CHARGES - 08/11/23 TO 01/12/23,B000024528/61288,Xbm Ltd,21 Dec 2023,246.40
Markets - Operations,General Repair & Maint Bldgs,FLOOR SCRUBBER FIXED,B000024528/63954,Karcher (Uk) Ltd,21 Dec 2023,840.28
Computer Services,Telephones,DEC 2023,B000024528/644,British Telecommunications Plc,21 Dec 2023,934.87
Accountancy,General Subscriptions,FINANCIAL RESILLIENCE BENCHMARKING,B000024528/68944,Localgov Improve Ltd,21 Dec 2023,"5,995.00"
Markets - Operations,Water Charges,WATER BILL W/C PEEL STREET,B000024528/8325,Water Plus Ltd,21 Dec 2023,304.00
Computer Services,Rental & Maint Software Misc,ARCSERVE CLOUD BACKUP FOR O365 ANUAL SUBSCRIP,B000024530/36434,Bytes Software Services Ltd,21 Dec 2023,"8,662.10"
Executive Director (Resources),Subsidised Professional Subs,PROFESSIONAL FEES ,B000024531/58814,Cipfa,21 Dec 2023,380.00
General Expenses,Cabinet Action Fund,TRANSPORT,B000024531/68984,St Andrews Out Of School Club,21 Dec 2023,"1,000.00"
General Expenses,Cabinet Action Fund,SUPPLEMENT THE AGEING PLAYBACK MACHINES,B000024531/68986,Hyndburn Talking Newspaper,21 Dec 2023,300.00
Other Services,Grants-General,COMMUNITY CHEST GRANT,B001115/12414,Hyndburn Comets Majorettes Troupe,21 Dec 2023,250.00
HOUSING BENEFIT ADMIN,ALLPAY,NOVEMBER,37101,ALLPAY.NET.LTD,27 Dec 2023,"1,062.09"
BANK CHARGES,NATWEST,02.09.12-01.12.23,37101,NATWEST,29 Dec 2023,"3,458.66"
